Latitude,Longitude,Species,SeasonStartMonth,SeasonEndMonth
34.23582974,-118.40931618,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.95018682,-118.25849172,avocado (Persea americana),10,5
33.95029212,-118.26122953,guava (Psidium guajava),8,11
34.27963824,-118.41522873,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.08570454,-118.28856521,olive (Olea europaea),9,11
34.08570395,-118.28858589,olive (Olea europaea),9,11
34.08570336,-118.28860442,olive (Olea europaea),9,11
34.08570613,-118.28870027,olive (Olea europaea),9,11
34.08570791,-118.28871525,olive (Olea europaea),9,11
34.08570732,-118.28873307,olive (Olea europaea),9,11
34.08570277,-118.28862368,olive (Olea europaea),9,11
34.05349261,-118.30836876,edible fig (Ficus carica),6,9
34.05492459,-118.29081584,edible loquat (Eriobotrya japonica),3,5
34.22280629,-118.44421859,white mulberry (Morus alba),4,6
34.26631275,-118.42559677,cherry plum (Prunus cerasifera),5,7
34.26642980,-118.42560279,cherry plum (Prunus cerasifera),5,7
34.00212221,-118.26654922,edible fig (Ficus carica),6,9
34.04535143,-118.20861689,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.03489533,-118.37639040,white sapote (Casimiroa edulis),11,3
34.04652264,-118.21237387,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.96292317,-118.26322783,edible loquat (Eriobotrya japonica),3,5
33.96292843,-118.26241021,avocado (Persea americana),10,5
34.26657590,-118.42575102,cherry plum (Prunus cerasifera),5,7
34.22280138,-118.44335811,Asian pear (Pyrus pyrifolia),8,10
34.22263630,-118.44328467,citrus (Citrus spp.),11,4
34.22210398,-118.59147276,guava (Psidium guajava),8,11
34.22228896,-118.58494955,Mexican lime (Citrus x aurantiifolia),7,10
34.00015270,-118.24829625,avocado (Persea americana),10,5
34.00015034,-118.24824348,avocado (Persea americana),10,5
34.12079873,-118.21246671,cherry plum (Prunus cerasifera),5,7
33.99281538,-118.24786972,cherimoya (Annona cherimola),11,3
34.25559342,-118.41830428,cherry plum (Prunus cerasifera),5,7
34.00015211,-118.24822994,citrus (Citrus spp.),11,4
33.96293579,-118.26187274,edible loquat (Eriobotrya japonica),3,5
33.96292922,-118.26188811,edible loquat (Eriobotrya japonica),3,5
33.96293861,-118.26181189,edible loquat (Eriobotrya japonica),3,5
34.04204466,-118.20836997,guava (Psidium guajava),8,11
34.00015270,-118.24818359,white mulberry (Morus alba),4,6
34.25964829,-118.43471093,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.25953304,-118.43487065,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.96278147,-118.26846499,avocado (Persea americana),10,5
33.96463824,-118.26168023,citrus (Citrus spp.),11,4
33.96463233,-118.26166668,citrus (Citrus spp.),11,4
33.96463822,-118.26109213,avocado (Persea americana),10,5
33.96476425,-118.25750436,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.01035905,-118.26090586,orange (Citrus sinensis),12,4
34.01037776,-118.26090435,lemon (Citrus limon),11,4
33.96474552,-118.25756307,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.99572969,-118.26132311,white mulberry (Morus alba),4,6
33.97952965,-118.26133225,cherimoya (Annona cherimola),11,3
33.97956227,-118.26133582,cherimoya (Annona cherimola),11,3
34.05493614,-118.29063711,edible loquat (Eriobotrya japonica),3,5
34.05492774,-118.29091979,edible loquat (Eriobotrya japonica),3,5
34.05492354,-118.29088049,edible loquat (Eriobotrya japonica),3,5
